Entity_normed|Entity|Link|latitude|longitude|geocode_query|geocode_status|Subfolder|SourceFileStem|distance_to_dresden_km|historical spelling|Certainty|Index|Year|Title|Author|Travel Period|Pages|Full Page Count|Link_meta|Folder|Digitally Available at|Citable_URL|Gender|Full Sentence|osm_feature_found
Tharandt|Tharanter-Wald||509860085|134810286|Tharanter-Wald|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000472.tif.original|1.9303166981522708e+16||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Das selbe lieget in den Tharanter-Wald, und ist mit selbigen rund umgeben.|True
Weißeritz|Weixer||510191561|13677797|Weißeritz|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000472.tif.original|5420478851941373.0||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Die Weixer flieisset durch, und sind von dar noch drei Stunden bis Dresden.|False
Dippoldiswalde|Dippoldiswal|https://de.wikipedia.org/wiki/Dippoldiswalde|508950479|136633335|Dippoldiswalde|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000473.tif.original|1.803404234389285e+16||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Dieser Ort stehe unter den Christfüräischen Amt d Dippoldiswal da, und hat keinen Rath, sondern nur einen Richter und die darzu gehörigen Schopen.|False
Grillenburg|Grillenburg|https://de.wikipedia.org/wiki/Grillenburg_(Sachsen)|509527591|135075118|Grillenburg|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000473.tif.original|1.940169159178849e+16||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Vörder-Gersdorff liegt eine Stunde von dar, ist ein grosser Ort, gehört in das Amt Grillenburg, und hat Kirche und Schule, welche neben ihrem Pfarrer und Schulmeister in die Dresdenische Inspection geziasen.|False
Potschappel|Potschappel||510131482|13662626|Potschappel|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000474.tif.original|66653038173329.0||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Potschappel lieget unter Dolen, ist ein großes Dorff, welches theils erwähnten Herrn von Polenz, theils dem Herrn von Lüttichau zustehet.|True
Kesseldorf|Kesselsdorff||510322245|135942849|Kesselsdorf|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000475.tif.original|1020110488619748.0||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Braunsdorff ist mittelmäßiger Größe, unterschiedenen Herrschaften zuständig, und geht nach Kesselsdorff zur Kirche.|False
Oberhermsdof|Ober‑Herrndorff||51019936|135906341|Oberhermsdorf|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000475.tif.original|1.0800470931401506e+16|Ober-Herrndorff|certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Ober-Herrndorff ist gleichfalls mittelmäßig, nicht weit von Braunsdorff gelegen, gehort etlichen Herrschaften zu, und ist auch nach Kesselsdorff gepfanrett.|False
Niederhermsdorf|Nieder‑Herrnsdorff||510221846|136157997|Niederhermsdorf|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000475.tif.original|9056423455140072.0|Nieder-Herrnsdorff|certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Nieder-Herrnsdorff ist klein, einer Rauchfusiischen Familie zuständig, ebenfalls nach Kesselsdorff in die Kirche gehortig.|False
Kesseldorf|Keffelsdorff||510322245|135942849|Kesselsdorf|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000475.tif.original|1020110488619748.0||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Mit diesem Discours hatten sie wiederum eine Stunde weggebracht, und kamen nunmehr selbsten in das oft erwähnnte Keffelsdorff.|False
Burgstädtel|Burgstädtel|https://de.wikipedia.org/wiki/Burgst%C3%A4dtel|509704539|137929057|Burgstädtel|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000477.tif.original|9703574530658546.0||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|[PAGE_BREAK] Rostebauda und Burgstädtel sind wie-derum zwei schöne Dörfer ohneweit der Elbe gelegen, welche in das Dressdner Ober-Amt, und nach Priesnitz in die Kirche gehören.|True
