Index;Year;Title;Pages;Link;Folder;Downloaded;Autor;publikationsdatum;Reisedaten;gesamtseitenzahl;Digitalisat;Zitierfähige URL
35;1783;Herrn G. E. von R. Reise von Wien nach Böhmen und Sachsen, im May 1783;Seite(n)299-304;https://digital.slub-dresden.de/werkansicht/dlf/79016/309;035_1783_Herrn_G._E._von_R._Reise_von_Wien_nach_Böhmen_und_Sachsen,_im_May_1783;;Kein Eintrag vorhanden;1783;1783;38;SLUB Dresden;https://reise.isgv.de/logs/Q109944147
36;1783;Briefe eines reisenden Franzosen über Deutschland. An seinen Bruder zu Paris;Seite(n)6-19;https://www.digitale-sammlungen.de/de/view/bsb10467957?page=6;036_1783_Briefe_eines_reisenden_Franzosen_über_Deutschland._An_seinen_Bruder_zu_Paris;;Johann Kaspar Riesbeck;1783;Kein Eintrag vorhanden;412;BSB München;https://reise.isgv.de/logs/Q109944061
37;1783;Bemerkungen auf einer Reise durch die Lausitz und Sachsen;Seite(n)127-132;https://www.digitale-sammlungen.de/de/view/bsb10926840?page=137;037_1783_Bemerkungen_auf_einer_Reise_durch_die_Lausitz_und_Sachsen;;Christian Gottfried Klose;1783;Kein Eintrag vorhanden;39;BSB München;https://reise.isgv.de/logs/Q109943999
38;1783;Bemerkungen auf einer Reise durch die Lausitz und Sachsen;Seite(n)124;https://www.digitale-sammlungen.de/de/view/bsb10926840?page=134;038_1783_Bemerkungen_auf_einer_Reise_durch_die_Lausitz_und_Sachsen;;Christian Gottfried Klose;1783;Kein Eintrag vorhanden;39;BSB München;https://reise.isgv.de/logs/Q109943999
45;1785;Eine Frühlingsreise über Halle, Leipzig und Altenburg nach Dresden im Jahre 1784;Seite(n)372-373;https://www.digitale-sammlungen.de/de/view/bsb10614688?page=384;045_1785_Eine_Frühlingsreise_über_Halle,_Leipzig_und_Altenburg_nach_Dresden_im_Jahre_1784;;Joachim Christoph Friedrich Schulz;1785;1784;562;BSB München;https://reise.isgv.de/logs/Q109944075
46;1785;Beschreibung seiner Reise durch Ober- und Nieder-Sachsen und Hessen;Seite(n)111-139;https://digital.slub-dresden.de/werkansicht/dlf/55914/125;046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen;;Jonas Apelblad;1785;1755;366;SLUB Dresden;https://reise.isgv.de/logs/Q109943912
49;1786;Kleine Wanderungen durch Teutschland;Seite(n)142-220;https://www.digitale-sammlungen.de/de/view/bsb10468145?page=146;049_1786_Kleine_Wanderungen_durch_Teutschland;;Joachim Christoph Friedrich Schulz;1786;Kein Eintrag vorhanden;220;BSB München;https://reise.isgv.de/logs/Q109944076
50;1786;Briefe über Sachsen von einem Reisenden;Seite(n)59-68;https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=62,63;050_1786_Briefe_über_Sachsen_von_einem_Reisenden;;Christian Gottfried Klose;1786;Kein Eintrag vorhanden;156;BSB München;https://reise.isgv.de/logs/Q109944000
51;1786;Briefe über Sachsen von einem Reisenden;Seite(n)54-56;https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=58,59;051_1786_Briefe_über_Sachsen_von_einem_Reisenden;;Christian Gottfried Klose;1786;Kein Eintrag vorhanden;156;BSB München;https://reise.isgv.de/logs/Q109944000
52;1786;Briefe über Sachsen von einem Reisenden;Seite(n)52-53;https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=56,57;052_1786_Briefe_über_Sachsen_von_einem_Reisenden;;Christian Gottfried Klose;1786;Kein Eintrag vorhanden;156;BSB München;https://reise.isgv.de/logs/Q109944000
53;1786;Briefe über Sachsen von einem Reisenden;Seite(n)49-51;https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=52,53;053_1786_Briefe_über_Sachsen_von_einem_Reisenden;;Christian Gottfried Klose;1786;Kein Eintrag vorhanden;156;BSB München;https://reise.isgv.de/logs/Q109944000
54;1786;Briefe über Sachsen von einem Reisenden;Seite(n)47;https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=50,51;054_1786_Briefe_über_Sachsen_von_einem_Reisenden;;Christian Gottfried Klose;1786;Kein Eintrag vorhanden;156;BSB München;https://reise.isgv.de/logs/Q109944000
