Index|Year|Title|Author|Travel Period|Pages|Full Page Count|Link|Folder|Digitally Available at|Citable URL|Gender
36|1783|Briefe eines reisenden Franzosen über Deutschland. An seinen Bruder zu Paris|Christian Gottfried Klose|Kein Eintrag vorhanden|Seite(n)6-19|39|https://www.digitale-sammlungen.de/de/view/bsb10467957?page=6|036_1783_Briefe_eines_reisenden_Franzosen_über_Deutschland._An_seinen_Bruder_zu_Paris|BSB München|https://reise.isgv.de/logs/Q109943999|male
37|1783|Bemerkungen auf einer Reise durch die Lausitz und Sachsen|Christian Gottfried Klose|Kein Eintrag vorhanden|Seite(n)127-132|39|https://www.digitale-sammlungen.de/de/view/bsb10926840?page=137|037_1783_Bemerkungen_auf_einer_Reise_durch_die_Lausitz_und_Sachsen|BSB München|https://reise.isgv.de/logs/Q109943999|male
38|1783|Bemerkungen auf einer Reise durch die Lausitz und Sachsen|Gottfried Conrad Böttger|Kein Eintrag vorhanden|Seite(n)124|106|https://www.digitale-sammlungen.de/de/view/bsb10926840?page=134|038_1783_Bemerkungen_auf_einer_Reise_durch_die_Lausitz_und_Sachsen|Kein Eintrag vorhanden|https://reise.isgv.de/logs/Q109943924|male
45|1785|Eine Frühlingsreise über Halle, Leipzig und Altenburg nach Dresden im Jahre 1784|Jonas Apelblad|1755|Seite(n)372-373|366|https://www.digitale-sammlungen.de/de/view/bsb10614688?page=384|045_1785_Eine_Frühlingsreise_über_Halle,_Leipzig_und_Altenburg_nach_Dresden_im_Jahre_1784|SLUB Dresden|https://reise.isgv.de/logs/Q109943912|male
46|1785|Beschreibung seiner Reise durch Ober- und Nieder-Sachsen und Hessen|Kein Eintrag vorhanden|1783|Seite(n)111-139|236|https://digital.slub-dresden.de/werkansicht/dlf/55914/125|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|Kein Eintrag vorhanden|https://reise.isgv.de/logs/Q109944123|male
49|1786|Kleine Wanderungen durch Teutschland|Christian Gottfried Klose|Kein Eintrag vorhanden|Seite(n)142-220|156|https://www.digitale-sammlungen.de/de/view/bsb10468145?page=146|049_1786_Kleine_Wanderungen_durch_Teutschland|BSB München|https://reise.isgv.de/logs/Q109944000|male
50|1786|Briefe über Sachsen von einem Reisenden|Christian Gottfried Klose|Kein Eintrag vorhanden|Seite(n)59-68|156|https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=62,63|050_1786_Briefe_über_Sachsen_von_einem_Reisenden|BSB München|https://reise.isgv.de/logs/Q109944000|male
51|1786|Briefe über Sachsen von einem Reisenden|Christian Gottfried Klose|Kein Eintrag vorhanden|Seite(n)54-56|156|https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=58,59|051_1786_Briefe_über_Sachsen_von_einem_Reisenden|BSB München|https://reise.isgv.de/logs/Q109944000|male
52|1786|Briefe über Sachsen von einem Reisenden|Christian Gottfried Klose|Kein Eintrag vorhanden|Seite(n)52-53|156|https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=56,57|052_1786_Briefe_über_Sachsen_von_einem_Reisenden|BSB München|https://reise.isgv.de/logs/Q109944000|male
53|1786|Briefe über Sachsen von einem Reisenden|Christian Gottfried Klose|Kein Eintrag vorhanden|Seite(n)49-51|156|https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=52,53|053_1786_Briefe_über_Sachsen_von_einem_Reisenden|BSB München|https://reise.isgv.de/logs/Q109944000|male
54|1786|Briefe über Sachsen von einem Reisenden|Christian Gottfried Klose|Kein Eintrag vorhanden|Seite(n)47|156|https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=50,51|054_1786_Briefe_über_Sachsen_von_einem_Reisenden|BSB München|https://reise.isgv.de/logs/Q109944000|male
55|1786|Briefe über Sachsen von einem Reisenden|Christian Gottfried Klose|Kein Eintrag vorhanden|Seite(n)16-68|156|https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=20,21|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|BSB München|https://reise.isgv.de/logs/Q109944000|male
56|1786|Briefe über Sachsen von einem Reisenden|Christian Gottlieb Schmidt|Kein Eintrag vorhanden|Seite(n)14-16|184|https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=18,19|056_1786_Briefe_über_Sachsen_von_einem_Reisenden|SLUB Dresden|https://reise.isgv.de/logs/Q109944069|male
