Name;Autor;publikationsdatum;Reisedaten;gesamtseitenzahl;Digitalisat;Zitierfähige URL
Briefe einer Curländerinn auf einer Reise durch Deutschland;Sophie Schwarz;1791;Kein Eintrag vorhanden;175;BSB München;https://reise.isgv.de/logs/Q109944081
Lust-Reisen durch Bayern, Würtemberg, Pfalz, Sachsen, Brandenburg, Oesterreich, Mähren, Böhmen und Ungarn in den Jahren 1784 bis 1791;Gottfried von Rotenstein;1792;1784 bis 1791;266;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944063
Bemerkungen auf einer Reise von Jena nach Altenburg, Dresden, Königstein und Meißen;Kein Eintrag vorhanden;1793;Kein Eintrag vorhanden;34;UB Bielefeld;https://reise.isgv.de/logs/Q109944127
Bemerkungen auf einer Reise von Jena nach Altenburg, Dresden, Königstein und Meißen;Kein Eintrag vorhanden;1793;Kein Eintrag vorhanden;34;UB Bielefeld;https://reise.isgv.de/logs/Q109944127
Briefe eines reisenden Dänen. Geschrieben im Jahre 1791 und 1792 während seiner Reise durch einen Theil Deutschlands, der Schweiz und Frankreichs;Frederik Sneedorff;1793;1791 bis 1792;360;BSB München;https://reise.isgv.de/logs/Q109944088
Briefe eines reisenden Dänen. Geschrieben im Jahre 1791 und 1792 während seiner Reise durch einen Theil Deutschlands, der Schweiz und Frankreichs;Frederik Sneedorff;1793;1791 bis 1792;360;BSB München;https://reise.isgv.de/logs/Q109944088
Briefe eines reisenden Dänen. Geschrieben im Jahre 1791 und 1792 während seiner Reise durch einen Theil Deutschlands, der Schweiz und Frankreichs;Frederik Sneedorff;1793;1791 bis 1792;360;BSB München;https://reise.isgv.de/logs/Q109944088
Briefe auf einer Reise durch Deutschland im Jahre 1791;Karl Martin Plümicke;1793;1791;444;BSB München;https://reise.isgv.de/logs/Q109944045
Briefe auf einer Reise durch Deutschland im Jahre 1791;Karl Martin Plümicke;1793;1791;444;BSB München;https://reise.isgv.de/logs/Q109944045
Karl Wertheims Reise durch Kursachsen;Karl Gottlob Köhler;1793;Kein Eintrag vorhanden;259;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944002
