Index;Year;Title;Pages;Link;Folder;Downloaded
42;1784;Beobachtungen über verschiedene Gegenstände auf einer Reise im Sommer 1783 nach Pyrmont, Braunschweig, Lauchstädt, Leipzig, Dresden, Töplitz, Berlin, Potsdam, Dessau und Bremen;Seite(n)27;https://digitale.bibliothek.uni-halle.de/vd18/content/pageview/4795624;042_1784_Beobachtungen_über_verschiedene_Gegenstände_auf_einer_Reise_im_Sommer_1783_nach_Pyrmont,_Braunschwei;
43;1784;Beobachtungen über verschiedene Gegenstände auf einer Reise im Sommer 1783 nach Pyrmont, Braunschweig, Lauchstädt, Leipzig, Dresden, Töplitz, Berlin, Potsdam, Dessau und Bremen;Seite(n)21-25;https://digitale.bibliothek.uni-halle.de/vd18/content/pageview/4795618;043_1784_Beobachtungen_über_verschiedene_Gegenstände_auf_einer_Reise_im_Sommer_1783_nach_Pyrmont,_Braunschwei;
44;1784;Beobachtungen über verschiedene Gegenstände auf einer Reise im Sommer 1783 nach Pyrmont, Braunschweig, Lauchstädt, Leipzig, Dresden, Töplitz, Berlin, Potsdam, Dessau und Bremen;Seite(n)15;https://digitale.bibliothek.uni-halle.de/vd18/content/pageview/4795612;044_1784_Beobachtungen_über_verschiedene_Gegenstände_auf_einer_Reise_im_Sommer_1783_nach_Pyrmont,_Braunschwei;
45;1785;Eine Frühlingsreise über Halle, Leipzig und Altenburg nach Dresden im Jahre 1784;Seite(n)372-373;https://www.digitale-sammlungen.de/de/view/bsb10614688?page=384;045_1785_Eine_Frühlingsreise_über_Halle,_Leipzig_und_Altenburg_nach_Dresden_im_Jahre_1784;
46;1785;Beschreibung seiner Reise durch Ober- und Nieder-Sachsen und Hessen;Seite(n)111-139;https://digital.slub-dresden.de/werkansicht/dlf/55914/125;046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen;
49;1786;Kleine Wanderungen durch Teutschland;Seite(n)142-220;https://www.digitale-sammlungen.de/de/view/bsb10468145?page=146;049_1786_Kleine_Wanderungen_durch_Teutschland;
50;1786;Briefe über Sachsen von einem Reisenden;Seite(n)59-68;https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=62,63;050_1786_Briefe_über_Sachsen_von_einem_Reisenden;
51;1786;Briefe über Sachsen von einem Reisenden;Seite(n)54-56;https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=58,59;051_1786_Briefe_über_Sachsen_von_einem_Reisenden;
52;1786;Briefe über Sachsen von einem Reisenden;Seite(n)52-53;https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=56,57;052_1786_Briefe_über_Sachsen_von_einem_Reisenden;
53;1786;Briefe über Sachsen von einem Reisenden;Seite(n)49-51;https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=52,53;053_1786_Briefe_über_Sachsen_von_einem_Reisenden;
54;1786;Briefe über Sachsen von einem Reisenden;Seite(n)47;https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=50,51;054_1786_Briefe_über_Sachsen_von_einem_Reisenden;
55;1786;Briefe über Sachsen von einem Reisenden;Seite(n)16-68;https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=20,21;055_1786_Briefe_über_Sachsen_von_einem_Reisenden;
56;1786;Briefe über Sachsen von einem Reisenden;Seite(n)14-16;https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=18,19;056_1786_Briefe_über_Sachsen_von_einem_Reisenden;
57;1787;Briefe über Herrnhut und andere Orte der Oberlausitz;Seite(n)9-12;https://digital.slub-dresden.de/werkansicht/dlf/2424/29;057_1787_Briefe_über_Herrnhut_und_andere_Orte_der_Oberlausitz;
58;1787;Reise von Wien über Prag, Dresden und durch einen Theil der Lausitz nach Berlin und Potsdam;Seite(n)69-71;https://digital.slub-dresden.de/werkansicht/dlf/55644/83;058_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam;
59;1787;Reise von Wien über Prag, Dresden und durch einen Theil der Lausitz nach Berlin und Potsdam;Seite(n)13-49;https://digital.slub-dresden.de/werkansicht/dlf/55644/27;059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam;
60;1789;Bemerkungen auf der Reise durch Frankreich, Italien und Deutschland;Seite(n)350-374;https://www.digitale-sammlungen.de/de/view/bsb10467735?page=352;060_1789_Bemerkungen_auf_der_Reise_durch_Frankreich,_Italien_und_Deutschland;
61;1790;Bemerkungen auf einer Reise von Thorn durch Posen nach Sachsen;Seite(n)142-144;https://digital.slub-dresden.de/werkansicht/dlf/1821/154;061_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen;
62;1790;Bemerkungen auf einer Reise von Thorn durch Posen nach Sachsen;Seite(n)106-122;https://digital.slub-dresden.de/werkansicht/dlf/1821/118;062_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen;
63;1790;Bemerkungen auf einer Reise von Thorn durch Posen nach Sachsen;Seite(n)83-104;https://digital.slub-dresden.de/werkansicht/dlf/1821/95;063_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen;
64;1791;Briefe einer Curländerinn auf einer Reise durch Deutschland;Seite(n)81;https://www.digitale-sammlungen.de/de/view/bsb00075073?q=%28briefe+einer+curl%C3%A4nderinn%29&page=82,83;064_1791_Briefe_einer_Curländerinn_auf_einer_Reise_durch_Deutschland;
65;1791;Briefe einer Curländerinn auf einer Reise durch Deutschland;Seite(n)166;https://www.digitale-sammlungen.de/de/view/bsb00075072?q=%28Briefe+einer+Curl%C3%A4nderinn+Auf+einer+Reise+durch+Deutschland,+Zwei+Theile,+Bd.%3A%29&page=178,179;065_1791_Briefe_einer_Curländerinn_auf_einer_Reise_durch_Deutschland;
66;1791;Briefe einer Curländerinn auf einer Reise durch Deutschland;Seite(n)107-115;https://www.digitale-sammlungen.de/de/view/bsb00075072?q=%28Briefe+einer+Curl%C3%A4nderinn+Auf+einer+Reise+durch+Deutschland,+Zwei+Theile,+Bd.%3A%29&page=118,119;066_1791_Briefe_einer_Curländerinn_auf_einer_Reise_durch_Deutschland;
67;1791;Briefe einer Curländerinn auf einer Reise durch Deutschland;Seite(n)71-75;https://www.digitale-sammlungen.de/de/view/bsb00075072?q=%28Briefe+einer+Curl%C3%A4nderinn+Auf+einer+Reise+durch+Deutschland,+Zwei+Theile,+Bd.%3A%29&page=82,83;067_1791_Briefe_einer_Curländerinn_auf_einer_Reise_durch_Deutschland;
