Entity|Type|Link|latitude|longitude|geocode_query|geocode_status|Subfolder|SourceFileStem|distance_to_dresden_km|Index|Year|Title|Author|Travel Period|Pages|Full Page Count|Link_meta|Folder|Digitally Available at|Citable URL|Gender
Dresden|Location|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1031|0.13293315314514328|8|1690|Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz|Peter Ambrosius Lehmann|Kein Eintrag vorhanden|Seite(n)1002-1065|528|https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|SLUB Dresden|https://reise.isgv.de/logs/Q109944013|male
Dresden|Location|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1032|0.13293315314514328|8|1690|Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz|Peter Ambrosius Lehmann|Kein Eintrag vorhanden|Seite(n)1002-1065|528|https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|SLUB Dresden|https://reise.isgv.de/logs/Q109944013|male
Dresden|Location|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1037|0.13293315314514328|8|1690|Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz|Peter Ambrosius Lehmann|Kein Eintrag vorhanden|Seite(n)1002-1065|528|https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|SLUB Dresden|https://reise.isgv.de/logs/Q109944013|male
Schloss Dresden|Location|https://de.wikipedia.org/wiki/Dresdner_Schloss|51.0087637|13.8688717|Schloss Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1043|10.300291033070446|8|1690|Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz|Peter Ambrosius Lehmann|Kein Eintrag vorhanden|Seite(n)1002-1065|528|https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|SLUB Dresden|https://reise.isgv.de/logs/Q109944013|male
Dresden|Location|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1046|0.13293315314514328|8|1690|Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz|Peter Ambrosius Lehmann|Kein Eintrag vorhanden|Seite(n)1002-1065|528|https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|SLUB Dresden|https://reise.isgv.de/logs/Q109944013|male
Kirche zu unsrer lieben Frauen|Location|https://en.wikipedia.org/wiki/Frauenkirche_(Dresden)|51.051957|13.7416198|Frauenkirche Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1056|0.34806721038579985|8|1690|Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz|Peter Ambrosius Lehmann|Kein Eintrag vorhanden|Seite(n)1002-1065|528|https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|SLUB Dresden|https://reise.isgv.de/logs/Q109944013|male
Dresden|Location|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|1059|0.13293315314514328|8|1690|Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz|Peter Ambrosius Lehmann|Kein Eintrag vorhanden|Seite(n)1002-1065|528|https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048|008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich|SLUB Dresden|https://reise.isgv.de/logs/Q109944013|male
Dresden|Location|https://en.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En|00000056.tif.original|0.13293315314514328|9|1706|Die vornehmsten europäischen Reisen, wie solche durch Deutschland, Franckreich, Italien, Holl-und England, Dännemarck und Schweden anzustellen|Androphilus|Kein Eintrag vorhanden|Seite(n)56-57|782|https://digital.slub-dresden.de/werkansicht/dlf/57275/122|009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male
Dresden|Location|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000535.tif.original|0.13293315314514328|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male
Dippoldiswalde|Place|https://de.wikipedia.org/wiki/Dippoldiswalde|50.8950479|13.6633335|Dippoldiswalde|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000536.tif.original|18.034042343892846|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male
