u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,geometry,service,lanes,bridge,access,width,ref,junction,tunnel,est_width,area
277089752,277089751,0,50823381,service,,Lockwitzgrund,False,True,24.710953791911876,"LINESTRING (13.7998088 50.9832201, 13.8001618 50.9832204)",,,,,,,,,,
277089752,277090079,0,"[25425344, 50823381]","['path', 'service']",,Lockwitzgrund,False,False,323.84302771419084,"LINESTRING (13.7998088 50.9832201, 13.7993883 50.9832201, 13.7989419 50.9831067, 13.7979549 50.9823934, 13.7972825 50.9819623, 13.796803 50.9817193, 13.7966958 50.9815582, 13.7966534 50.9813275)",,,,,,,,,,
277090079,277089752,0,"[25425344, 50823381]","['path', 'service']",,Lockwitzgrund,False,True,323.84302771419084,"LINESTRING (13.7966534 50.9813275, 13.7966958 50.9815582, 13.796803 50.9817193, 13.7972825 50.9819623, 13.7979549 50.9823934, 13.7989419 50.9831067, 13.7993883 50.9832201, 13.7998088 50.9832201)",,,,,,,,,,
279872625,2610832901,0,61320006,tertiary,20,Wilsdruffer Straße,True,False,57.50648568758604,"LINESTRING (13.7390208 51.0502598, 13.7382166 51.0503688)",,1,,,3.25,,,,,
303159242,2294768731,0,"[384397136, 384397137, 777497213]",primary,50,Bautzner Straße,False,False,152.79073443865738,"LINESTRING (13.8095334 51.0647121, 13.8097282 51.0646566, 13.8098957 51.0645973, 13.810195 51.0644956, 13.8103633 51.0644438, 13.8105952 51.0643878, 13.8107737 51.0643549, 13.8109844 51.0643247, 13.8113947 51.0643001, 13.8115839 51.0642894)",,"['2', '4']",,,,B 6,,,,
303159242,30405018,0,"[23678817, 27608271, 384397136, 220328114, 777497214, 777497215]",primary,50,Bautzner Straße,False,"[False, True]",554.5122892356172,"LINESTRING (13.8095334 51.0647121, 13.8094446 51.0647342, 13.8069153 51.065365, 13.8066813 51.0654181, 13.8064721 51.0654543, 13.8062655 51.0654766, 13.8058143 51.0655167, 13.8053147 51.0655584, 13.8043327 51.0656424, 13.8041917 51.0656542, 13.8037679 51.0656897, 13.8026694 51.0657817, 13.8020558 51.0658331, 13.8018614 51.0658461)",,2,,,,B 6,,,,
304869297,3559302870,0,"[684023315, 27763740, 350181327]","['steps', 'pedestrian', 'path']",,Brühlsche Terrasse,False,"[False, True]",68.64852723013723,"LINESTRING (13.7443738 51.0531558, 13.7442803 51.0531672, 13.7435312 51.0531937, 13.7433958 51.0531823)",,,,,,,,,,
304869329,312304340,0,"[28426411, 244245423]","['footway', 'pedestrian']",,Brühlscher Garten,False,True,50.15092868719197,"LINESTRING (13.7454556 51.0524033, 13.7451709 51.0523227, 13.7451318 51.05232, 13.7448583 51.0521672)",,,,,,,,,,
309707754,3745445128,0,684106658,pedestrian,,Bautzner Straße,False,False,49.8386869131184,"LINESTRING (13.7475327 51.0637206, 13.7482181 51.0635967)",,,,,,,,,,
309707754,12297372281,0,684106658,pedestrian,,Bautzner Straße,False,True,9.155507418482683,"LINESTRING (13.7475327 51.0637206, 13.7474069 51.0637436)",,,,,,,,,,
312290735,2569330418,0,28425009,tertiary,20,Wilsdruffer Straße,True,False,77.35592123138262,"LINESTRING (13.7359394 51.050455, 13.7370236 51.0503156)",,1,,,3.25,,,,,
312304340,3596577472,0,353857861,pedestrian,,Brühlsche Terrasse,False,False,17.51101201661153,"LINESTRING (13.7448583 51.0521672, 13.7446995 51.052289)",,,,,,,,,,
312304340,304869329,0,"[28426411, 244245423]","['pedestrian', 'footway']",,Brühlscher Garten,False,False,50.15092868719197,"LINESTRING (13.7448583 51.0521672, 13.7451318 51.05232, 13.7451709 51.0523227, 13.7454556 51.0524033)",,,,,,,,,,
312304340,2517502174,0,"[684023323, 244245423]","['pedestrian', 'residential']",30,Brühlscher Garten,False,True,61.86022875255022,"LINESTRING (13.7448583 51.0521672, 13.7451524 51.0519588, 13.7452093 51.0519158, 13.7452831 51.0518595, 13.7453126 51.0518137, 13.7453406 51.051748, 13.7453497 51.0517171)",,,,,,,,,,
316631000,29348304,0,413178527,tertiary,20,Wilsdruffer Straße,True,False,38.934635206031224,"LINESTRING (13.7400923 51.0499235, 13.7406426 51.0498694)",,1,,,4.8,,,,,
334016342,997588284,0,205991584,tertiary,50,Wilsdruffer Straße,True,False,110.67705262862059,"LINESTRING (13.7438018 51.0496342, 13.743755 51.0496393, 13.7428895 51.0497308, 13.7422443 51.0498125)",,1,,,,,,,,
334016350,27189041,0,205991583,tertiary,50,Wilsdruffer Straße,True,False,10.033798177095813,"LINESTRING (13.7437265 51.0494123, 13.743865 51.0493886)",,3,,,,,,,,
344884575,3175569186,0,"[28425010, 769451718]",tertiary,20,Wilsdruffer Straße,True,False,40.83433174463197,"LINESTRING (13.7348988 51.0507585, 13.7345376 51.0508101, 13.7343288 51.0508389)",,1,,,4,,,,,
344931540,9020757695,0,9706536,residential,20,Bautzner Straße,True,False,41.196349654584466,"LINESTRING (13.7514325 51.0630302, 13.7514342 51.0630412, 13.7514525 51.0631262, 13.751031 51.0631949)",,1,,,,,,,,
344931540,3870487960,0,383734606,primary,50,Bautzner Straße,False,False,8.408069222480776,"LINESTRING (13.7514325 51.0630302, 13.7515142 51.0630184, 13.7515501 51.0630143)",,4,,,,B 6,,,,
344931540,4128233139,0,"[761288689, 411090413]",primary,50,Bautzner Straße,False,True,21.107548742958656,"LINESTRING (13.7514325 51.0630302, 13.7513302 51.0630435, 13.7511367 51.0630686)",,4,,,,B 6,,,,
355347947,7417943542,0,383734605,primary,50,Bautzner Straße,False,False,7.655970297934837,"LINESTRING (13.7498492 51.0632357, 13.7499565 51.0632218)",,4,,,,B 6,,,,
355347947,1703242714,0,383734605,primary,50,Bautzner Straße,False,True,57.44243453249575,"LINESTRING (13.7498492 51.0632357, 13.7490442 51.0633402)",,4,,,,B 6,,,,
355347952,76859758,0,9722489,residential,50,Bautzner Straße,True,False,60.14730160030216,"LINESTRING (13.7498695 51.0629021, 13.7507297 51.0628838)",,,,,,,,,,
371251139,7417943540,0,9706536,residential,20,Bautzner Straße,True,False,25.320651400575127,"LINESTRING (13.7503469 51.0632972, 13.7499924 51.0633443)",,1,,,,,,,,
373262774,4314077696,0,"[432335180, 23400118]","['steps', 'pedestrian']",,Brühlsche Terrasse,False,True,9.724431760714994,"LINESTRING (13.7411887 51.0532626, 13.7412854 51.0532548, 13.7413267 51.0532515)",,,,,,,,,,
403395056,6558343218,0,698337542,residential,50,Bautzner Straße,False,True,24.948759983501713,"LINESTRING (13.7514416 51.0628684, 13.7510848 51.0628761)",,2,,,5.1,,,,,
433059649,7733763092,0,37202134,primary,50,Bautzner Straße,True,False,70.36087437291678,"LINESTRING (13.785335 51.0670241, 13.7847344 51.0670436, 13.7843299 51.0670618)",,2,,,,B 6,,,,
433065573,2970538995,0,56067972,primary,50,Bautzner Straße,True,False,9.962713212312199,"LINESTRING (13.7764328 51.0674799, 13.7762967 51.0674532)",,2,,,,B 6,,,,
