|Entity|Link|latitude|longitude|geocode_query|geocode_status|Subfolder|SourceFileStem|distance_to_dresden_km|historical spelling|Certainty|Index|Year|Title|Author|Travel Period|Pages|Full Page Count|Link_meta|Folder|Digitally Available at|Citable_URL|Gender|Full Sentence|osm_feature_found
32|Dippoldiswalda|https://de.wikipedia.org/wiki/Dippoldiswalde|50.8950479|13.6633335|Dippoldiswalde|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000537.tif.original|18.034042343892846||certain|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male|Darauf redete der Herr von Rosenberg weiter: Hinter Dippoldiswalda liegt auch ein sehr grosses und langes Dorff, Frauen-dorff genannt, welches in das Curfürstliche Amt Dippoldiswalda gehört, auch nach Dippoldiswalda zum Kirche gehe.|False
33|Reinhardsgrimme||50.8928546|13.7560248|Reinhardtsgrimma|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000538.tif.original|17.567268229183114||certain|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male|Reinhardsgrimme liegt etwas lincker Hand, und ist ein grosses Dorff in das Dipoldiswalder Amt gehörig.|False
36|Lockewitz|https://de.wikipedia.org/wiki/Lockwitz|50.9872806|13.8062434|Löckwitz|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000540.tif.original|8.515686897739851||certain|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male|Hierüben lieget ein groffes Dorff, Lockewitz genamdt, welches einer Rackenitzischen Familie zustehen, die Daseibbsten ein schönes Schloß und Garten hat, und solches bewohnet.|False
37|Rackenitz|https://de.wikipedia.org/wiki/Räcknitz|51.0251896|13.7333866|Räcknitz|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000540.tif.original|2.8165950539817874|Rackenitzischen|certain|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male|Hierüben lieget ein groffes Dorff, Lockewitz genamdt, welches einer Rackenitzischen Familie zustehen, die Daseibbsten ein schönes Schloß und Garten hat, und solches bewohnet.|True
44|Leuben|https://de.wikipedia.org/wiki/Leuben_(Dresden)|51.0106334|13.8270795|Leuben|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000465.tif.original|7.67925854530887||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Graupzig, liegt gleich dahinter, ist mittelmäßig, hat eben die vorige Herrschaft und geht nacher Leuben zur Kirche.|True
45|Schleinig||51.0380217|13.7007763|Schleinig|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000465.tif.original|2.9007445433001515||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Schleinig ist wiederum gar nahe angebauet, ein mittelmäßiges Dorff, eine Stunde von Kommaßsch gelegen.|False
47|Wilskyeruff||51.0524125|13.5362765|Wilsdruff|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000470.tif.original|14.05327409626612||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Wilskyeruff ist ein kleines in etwas mit Mauern urngebenes St绿豆gen, dreu stun-den von Dresden gelegen.|True
48|Wilßdruff|https://de.wikipedia.org/wiki/Wilsdruff|51.0524125|13.5362765|Wilsdruff|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000471.tif.original|14.05327409626612||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Mit diesem Gespräch waren die Passagiers ganz nahe an Grumbach gekommen, und, weil man erwähntes Wilßdruff auf der Straße gar wohl sehen kan, zeigete es ihnen Theophilus, darauf sie gleich ins Dorff ge-langeten.|True
50|Tharant||50.9853391|13.5794907|Tharandt|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000472.tif.original|13.198209070619207||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Gleich hier nüber, fuhre er fort, lieget O g ein [PAGE_BREAK] 454 ein kleines offenes Städtgen, das man nur in'sgemein Tharant heisset, welches aber eisgentlich Granaden geschrieben wird.|False
51|Tharanter-Wald||50.9860085|13.4810286|Tharanter-Wald|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000472.tif.original|19.303166981522708||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Das selbe lieget in den Tharanter-Wald, und ist mit selbigen rund umgeben.|False
52|Weixer||51.0191561|13.677797|Weißeritz|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000472.tif.original|5.420478851941373||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Die Weixer flieisset durch, und sind von dar noch drei Stunden bis Dresden.|False
54|Dippoldiswal|https://de.wikipedia.org/wiki/Dippoldiswalde|50.8950479|13.6633335|Dippoldiswalde|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000473.tif.original|18.034042343892846||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Dieser Ort stehe unter den Christfüräischen Amt d Dippoldiswal da, und hat keinen Rath, sondern nur einen Richter und die darzu gehörigen Schopen.|False
55|Grillenburg|https://de.wikipedia.org/wiki/Grillenburg_(Sachsen)|50.9527591|13.5075118|Grillenburg|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000473.tif.original|19.401691591788488||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Vörder-Gersdorff liegt eine Stunde von dar, ist ein grosser Ort, gehört in das Amt Grillenburg, und hat Kirche und Schule, welche neben ihrem Pfarrer und Schulmeister in die Dresdenische Inspection geziasen.|False
59|Kesselsdorff||51.0322245|13.5942849|Kesselsdorf|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000475.tif.original|10.20110488619748||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Braunsdorff ist mittelmäßiger Größe, unterschiedenen Herrschaften zuständig, und geht nach Kesselsdorff zur Kirche.|False
60|Ober‑Herrndorff||51.019936|13.5906341|Oberhermsdorf|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000475.tif.original|10.800470931401506|Ober-Herrndorff|certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Ober-Herrndorff ist gleichfalls mittelmäßig, nicht weit von Braunsdorff gelegen, gehort etlichen Herrschaften zu, und ist auch nach Kesselsdorff gepfanrett.|False
61|Nieder‑Herrnsdorff||51.0221846|13.6157997|Niederhermsdorf|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000475.tif.original|9.056423455140072|Nieder-Herrnsdorff|certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Nieder-Herrnsdorff ist klein, einer Rauchfusiischen Familie zuständig, ebenfalls nach Kesselsdorff in die Kirche gehortig.|False
62|Keffelsdorff||51.0322245|13.5942849|Kesselsdorf|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000475.tif.original|10.20110488619748||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Mit diesem Discours hatten sie wiederum eine Stunde weggebracht, und kamen nunmehr selbsten in das oft erwähnnte Keffelsdorff.|False
65|Burgstädtel|https://de.wikipedia.org/wiki/Burgst%C3%A4dtel|50.9704539|13.7929057|Burgstädtel|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000477.tif.original|9.703574530658546||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|[PAGE_BREAK] Rostebauda und Burgstädtel sind wie-derum zwei schöne Dörfer ohneweit der Elbe gelegen, welche in das Dressdner Ober-Amt, und nach Priesnitz in die Kirche gehören.|True
66|Dressdnelle|https://en.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000477.tif.original|0.13293315314514328||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Weisctropp ist eine Stunde davon, ein großes schönes Dörf, dem Herrn von Militz zuständig, darinnen Kirche und Schule steht, deren Pfarrer und Schulmeister in die Dressdnelle.|True
67|Dressden|https://en.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000477.tif.original|0.13293315314514328||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Kögschenbroda liegtet harte an der Elbe eine Meile von Dressden,gehöret in das Chur-fürstliche Amt nacher Dressden, und hat Kir-che und Schule, die nefst ihren Pfarrer und Schulmeifter nacher Dressden gewiesen.|True
68|Kaditz|https://de.wikipedia.org/wiki/Kaditz|51.0843554|13.6776905|Kaditz|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000478.tif.original|5.621836095737925||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Beil lieget nicht weit davon harte an der Elbe, ist ein mittelmäßiges Dörf, das unter dem Dresdner Ober-Amt stehet, und nach Kaditz zur Kirche gehet.|True
70|Alt-Francken||51.0340852|13.6454145|Altfranken|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000478.tif.original|6.675283807602991||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Sie liessen rechter Hand ein feines Dörf liegen, Alt-Francken genandt, welches in das Dresdner Ober-Amt gehöret, und nach Westerwitz zur Kirche gehet.|True
74|St. Michael (Dresden)|https://de.wikipedia.org/wiki/St._Michael_(Dresden)|51.0600005|13.7205839|St. Michael (Dresden)|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000481.tif.original|1.5826156071075472|Michaelis|certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Oben am Gewölbe seeher man den Streit Michaelis mit dem Drachen in gr丰富的 Figuren vorξgestellet, welches sehr schöne aússichehet.|False
76|St. Anne's Church (Annenkirche)|https://de.wikipedia.org/wiki/Annenkirche_(Dresden)|51.0487471|13.7274512|Annenkirche|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000484.tif.original|0.7125673126432942|Sct. Annen Kirch-hoff|certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Zu mercken ist, dasß af diefe Kirche in dem Sct.|True
77|Böhmische Kirche||51.0649008|13.754804|Böhmische Kirche|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000486.tif.original|2.0239816547820246||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Man nen-net sie sonsten auch die Böhmische Kirche, weil darinnen Böhmisch gepriediget und gesungen wird.|False
